# ======================================		
# Most common: Found on Miku Append, Mirai Akari and Shishiro Botan		
Blink	まばたき	Blink
Blink Happy	笑い	Blink Happy
## The first two winks usually combine to make 'Blink Happy'		
Wink Happy Left	ウィンク	Wink
Wink Happy Right	ウィンク右	Wink Right
## The second two winks usually combine to make 'Blink'		
Wink Left	ウィンク２	Wink 2
Wink Right	ｳｨﾝｸ２右	Wink 2 Right
Calmness	なごみ	Calm
>.<	はぅ	Close><
Surprised	びっくり	Surprised
Stare	じと目	Stare
Sharp	ｷﾘｯ	Slant
Ah	あ	Ah
Ch	い	Ch
U	う	U
E	え	E
Oh	お	Oh
▲	▲	
ω	ω	
Mouth Corner Lower	口角下げ	Mouth Horn Lower
Pupil Shrink	瞳小	Pupil
Eyebrows Serious	真面目	Serious
Eyebrows Cheerful	にこり	Cheerful
Eyebrows Angry	怒り	Anger
# ======================================		
# Common: Found on both Miku Append and Mirai Akari		
O_O	はちゅ目	Hachu Eye
## Similar to Mouth Corner Lower and sometimes called N		
Hmm	ん	Hmm
∧	∧	
Mouth Corner Widen	口横広げ	Mouth Side Widen
Hearts In Eyes	はぁと	Heart
Pupil Hide	恐ろしい子！	HorrorChild !
Eyebrow Head Left	眉頭左	Eyebrow Head Left
Eyebrow Head Right	眉頭右	Eyebrow Head Right
# ======================================		
# Common: Found on both Miku Append and Shishiro Botan		
Lick	ぺろっ	Lick
TehHeh Lick	てへぺろ	TehHeh Lick
Mouth Corner Raise	口角上げ	Mouth Horn Raise
Tears	涙	Tears
Blush	照れ	Blush
Eyebrows Sad	困る	Sadness
Eyebrows Raise	上	Upper
Eyebrows Lower	下	Lower
Eyebrows Forward	前	Front
# ======================================		
# Common: Found on both Mirai Akari and Shishiro Botan		
Left Mouth Corner Lower	左口角下げ	Left Mouth Horn Lower
Left Mouth Corner Raise	左口角上げ	Left Mouth Horn Raise
Right Mouth Corner Lower	右口角下げ	Right Mouth Horn Lower
Right Mouth Corner Raise	右口角上げ	Right Mouth Horn Raise
# ======================================		
# Miku Append only		
O_O Vertical Shrink	はちゅ目縦潰れ	Hachu Eye Vertical Collapse
O_O Horizontal Shrink	はちゅ目横潰れ	Hachu Eye Side Collapse
Ah 2	あ２	Ah 2
□	□	
Wa	ワ	Wa
ω□	ω□	
Grin	にやり	Grin
Grin Smug	にやり２	Grin 2
Smile	にっこり	Smile
TehHeh Lick 2	てへぺろ２	TehHeh Lick 2
Upper Teeth Hide	歯無し上	Teeth None Upper
Lower Teeth Hide	歯無し下	Teeth None Lower
